"","Binomial","Wild","elton_BodyMass.Value_g","Trophic_Level","pantheria_AdultBodyMass_g","pantheria_TrophicLevel","pantheria_GestationLen_d","pantheria_MaxLongevity_m","amniota_adult_body_mass_g","amniota_gestation_d","amniota_maximum_longevity_y","diet2_TrophicLevel"
"102","Sylvilagus_nuttallii","Wild",755.09,"Herbivores",801.54,1,28.24,NA,760,29.52292,7.4,"Herbivore"
"103","Ochotona_collaris","Wild",129,"Herbivores",129,1,NA,72,129,30.218,6,"Herbivore"
"104","Ochotona_princeps","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Aplodontia_rufa","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Castor_canadensis","Wild",21820,"Herbivores",18124.41,1,111.59,180,19928.335,114.43936,23.4,"Herbivore"
"107","Dicrostonyx_groenlandicus","Wild",54.4,"Herbivores",58.44,NA,20.84,NA,58.44,20.84,3.3,"Herbivore"
"108","Dicrostonyx_hudsonius","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Dicrostonyx_nunatakensis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Dicrostonyx_richardsoni","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Lemmiscus_curtatus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Lemmus_trimucronatus","Wild",69.82,"Herbivores",69.82,NA,20.77,NA,60.8,20.77,1.666666667,"Herbivore"
"113","Microtus_chrotorrhinus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Microtus_longicaudus","Wild",46.71,"Herbivores",44.8,1,NA,NA,32.5,NA,1.166666667,"Herbivore"
"115","Microtus_miurus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Microtus_montanus","Wild",36.33,"Herbivores",42.85,NA,21.13,NA,35.1,21.2176,NA,"Herbivore"
"117","Microtus_ochrogaster","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Microtus_oeconomus","Wild",34.38,"Herbivores",33.1,NA,21.51,21.6,33.1,21.55978,2.166666667,"Herbivore"
"119","Microtus_oregoni","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Microtus_pennsylvanicus","Wild",36.75,"Herbivores",42.53,2,21.24,11,38.55,21.2726,2.908333333,"Herbivore"
"121","Microtus_pinetorum","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Microtus_richardsoni","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123","Microtus_townsendii","Wild",64.75,"Herbivores",52.02,1,23.2,NA,52.2,23.0135,NA,"Herbivore"
"124","Microtus_xanthognathus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125","Myodes_gapperi","Wild",19.83,"Omnivores",19.83,2,18,20,22.8,17.97862,2.408333333,"Omnivore"
"126","Myodes_rutilus","Wild",19.94,"Omnivores",19.94,2,23.98,NA,25,23.70786,NA,"Herbivore"
"127","Neotoma_cinerea","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Ondatra_zibethicus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Onychomys_leucogaster","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Peromyscus_keeni","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Peromyscus_leucopus","Wild",21.17,"Omnivores",18.07,2,23.17,38,24.89,NA,NA,"Omnivore"
"139","Peromyscus_maniculatus","Wild",21.28,"Omnivores",19.98,2,26.68,NA,20.5,26,8.333333333,"Herbivore"
"140","Phenacomys_intermedius","Wild",25.2,"Herbivores",25.2,1,22.42,NA,25.2,22.01478,4,"Herbivore"
"141","Phenacomys_ungava","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Reithrodontomys_megalotis","Wild",9.37,"Herbivores",10.72,NA,23.5,18,10.72,23.31568,3.575,"Omnivore"
"143","Synaptomys_borealis","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Synaptomys_cooperi","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Napaeozapus_insignis","Wild",22.3,"Omnivores",22.25,2,22.73,48,21.8,23.08286,4,"Omnivore"
"146","Zapus_hudsonius","Wild",17.12,"Omnivores",18.43,2,18.24,60,23.8,19,5.6,"Omnivore"
"147","Zapus_princeps","Wild",29,"Omnivores",27.2,2,18.11,NA,27.975,18.11,6,"Omnivore"
"148","Zapus_trinotatus","Wild",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Erethizon_dorsatum","Wild",7085.33,"Herbivores",NA,NA,NA,NA,NA,NA,NA,NA
