"","UUID","Binomial","hwi","range_size","diet","mean_adult_body_mass_g","BodySize","LifeSpan","mean_longevity_y","TrophicLevel"
"113","581c5219-85af-4ecd-bbfc-afeb1ba6315d","Melospiza_georgiana",19.1457063,663,"omnivore",16.7875,0.00162985436893204,6.5833333335,5.416666667,2
"114","f1d11f50-509d-4df9-b8de-28a58c249a47","Melanerpes_erythrocephalus",29.08493297,539,"invertebrates",71.6,0.00695145631067961,10,9.916666667,3
"115","953e6ce3-e265-4e35-bd24-a262adaf4e35","Loxia_curvirostra",34.69451921,3065,"plants",39.5,0.00383495145631068,16.08333333,8,1
"116","dc483c00-7e80-436b-81ce-de6ab13a41ca","Limosa_fedoa",52.49194821,160,"invertebrates",370.25,0.0359466019417476,13.7,8.6,3
"117","bb63630f-90df-4cd7-9995-d9f949b4c1ab","Larus_delawarensis",56.24865042,965,"omnivore",518.5,0.0503398058252427,31.8,28.58333333,2
"118",NA,"Larus argentatus
",55.88318196,NA,NA,1085,0.105339805825243,49,32.083,NA
"119","22463408-db52-4406-a95e-1553c40fff82","Lanius_ludovicianus",22.27728001,914,"invertebrates",47.225,0.00458495145631068,12.5,12.5,3
"120","569a1dc4-dbdf-49de-9795-28b1014c5f78","Junco_hyemalis",22.12436869,1141,"seeds",19.475,0.00189077669902913,11.33333333,10.75,1
"121","efc0954a-3f62-4fc0-baf2-deab3672e365","Ixoreus_naevius",33.4020217,369,"invertebrates",79.225,0.00769174757281553,5.6,4.8,3
"122","ac045ecf-7a34-4b7c-a671-2aa248b4b518","Hylocichla_mustelina",26.83527058,348,"invertebrates",48.65,0.00472330097087379,10.16666667,8.9,3
"123","5b55e7bf-043d-4ab0-834f-e79e43af75d9","Hirundo_rustica",51.1705325,4786,"invertebrates",19,0.00184466019417476,16,13.50166667,3
"124","de36e777-d164-4d5e-a3f4-c6bf8ffbae4f","Geothlypis_trichas",16.06630498,1282,"invertebrates",9.666666667,0.000938511326893204,11.5,9.916666667,3
"125","b1c9d000-30c4-4402-8cf2-0179f34842bf","Gavia_immer",49.26602473,1697,"vertebrates",4400,0.427184466019418,24.08333333,20,3
"126","a3592b55-ca07-4ae0-9379-8d37e915e542","Euphagus_cyanocephalus",31.20695373,681,"invertebrates",62.65,0.00608252427184466,12.5,12.5,3
"127","69337a20-eea1-4390-b10f-05681a0ec383","Eremophila_alpestris",39.01121291,3273,"omnivore",34.25,0.0033252427184466,8,7.916666667,2
"128","c74a2237-fb0a-43ce-af81-aba8731d530c","Empidonax_flaviventris",24.10703597,545,"invertebrates",11.85,0.0011504854368932,5,4,3
"129","deb91fa8-c47b-449e-8cc7-1b32eb549c1f","Dolichonyx_oryzivorus",35.3903016,459,"seeds",34.45,0.00334466019417476,9,9,1
