"","Binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y","habitat"
"178","Sphyrapicus_ruber",30.33663961,"invertebrates",51.45,7.75,6.8,"forest"
"179","Sphyrapicus_nuchalis",31.72171068,"invertebrates",50.3,7.75,6.8,"forest"
"180","Gavia_adamsii",50.99471121,"vertebrates",5212.5,30,18,"wetlands"
"181","Calidris_fuscicollis",54.0651637,"invertebrates",44.55,7,7,"shore"
"182","Uria_lomvia",51.82876446,"vertebrates",964,29,25.26666667,"oceans"
"183","Calidris_himantopus",52.17316585,"invertebrates",57.5,11.1,11.09166667,"shore"
"184","Calidris_alba",52.32785586,"invertebrates",55.55,18.58333333,14.91666667,"shore"
"185","Arenaria_interpres",55.16757708,"invertebrates",135,21.41666667,16.98333333,"shore"
"186","Calidris_canutus",58.17506877,"invertebrates",137.0666667,26.66666667,16.08333333,"shore"
"187","Alca_torda",56.79864192,"vertebrates",720,42,18,"oceans"
"188","Calidris_maritima",50.50969832,"invertebrates",69.475,20.75,20.35,"shore"
"189","Calidris_melanotos",53.38953783,"invertebrates",85,5.916666667,5.9,"shore"
"190","Limosa_haemastica",57.52505612,"invertebrates",255.5,NA,NA,"shore"
"191","Phalacrocorax_carbo",38.68346865,"vertebrates",2200,27.16666667,21.625,"oceans"
"192","Calidris_alpina",54.34362502,"invertebrates",54.6,28.834,19.75,"shore"
"193","Pluvialis_squatarola",58.97676136,"invertebrates",224,25.58333333,20.3,"shore"
"194","Calidris_bairdii",55.25686631,"invertebrates",39.41666667,NA,NA,"shore"
"195","Cygnus_columbianus",45.28694034,"plants",6350,24.1,22.29166667,"lakes/ponds"
"196","Lanius_excubitor",22.34152831,"vertebrates",63.98333334,16.1,7.333333333,NA
"197","Larus_fuscus",58.38328788,"vertebrates",1010.25,49,32.75,"oceans"
"198","Catherpes_mexicanus",13.16413223,"invertebrates",11.625,NA,NA,"other"
"199","Calypte_anna",65.62151134,"nectar",4.4,8.5,6.3,NA
"200","Calidris_pusilla",54.15753642,"invertebrates",26.36666667,19.3,12.1,"shore"
"201","Pluvialis_dominica",60.16592529,"invertebrates",151,25.91666667,8.9,"shore"
"202","Numenius_phaeopus",54.44327483,"invertebrates",383,16.1,12.5,"shore"
"203","Charadrius_semipalmatus",56.02202596,"invertebrates",52,20.83333333,9.2,"shore"
"204","Limnodromus_scolopaceus",51.03418134,"invertebrates",108.125,13.3,8.333333333,"shore"
"205","Fratercula_cirrhata",50.45325788,"vertebrates",775,6,6,"oceans"
"206","Ptychoramphus_aleuticus",40.68446705,"invertebrates",184,16.2,10.2,"oceans"
"207","Fratercula_arctica",51.63627959,"vertebrates",437.9166667,40.83333333,27.45833333,"oceans"
"208","Synthliboramphus_antiquus",51.86074566,"invertebrates",206,5,5,"oceans"
"209","Lagopus_leucura",40.42034183,"plants",351,15,15,"other"
"210","Surnia_ulula",38.66775321,"vertebrates",308.5,16.16666667,10,"forest"
"211","Larus_glaucoides",54.47070658,"vertebrates",863,33,33,NA
"212","Falco_rusticolus",47.4893525,"vertebrates",1415.75,13.5,12.917,"other"
"213","Strix_nebulosa",31.89905231,"vertebrates",1078.75,27,15.817,"forest"
"214","Zonotrichia_querula",23.69162282,"omnivore",35.55,11.7,11.7,"other"
"215","Plectrophenax_nivalis",39.31767243,"seeds",40.33333333,9.6,8.8,"other"
"216","Lophodytes_cucullatus",50.92564761,"omnivore",615.25,12.875,11.275,"lakes/ponds"
"217","Cinclus_mexicanus",26.52097699,"invertebrates",55.9,7.25,5.1,"wetlands"
"218","Salpinctes_obsoletus",17.30108297,"invertebrates",16.5,NA,NA,"other"
"219","Rallus_limicola",29.03649008,"omnivore",84.1,NA,NA,"wetlands"
"220","Polioptila_caerulea",19.08536544,"invertebrates",6.125,4.2,4.2,NA
"221","Picoides_dorsalis",28.70280734,"invertebrates",65.65,11.25,8.75,"forest"
