"","Binomial","hwi","diet","mean_adult_body_mass_g","mean_max_longevity_y","mean_longevity_y","habitat"
"280","Motacilla_tschutschensis",33.49958301,NA,16.55,8.834,8.8,"other"
"281","Baeolophus_bicolor",15.59651598,"invertebrates",21.6,13.3,13.275,"forest"
"282","Poecile_atricapillus",19.60140947,"invertebrates",10.8,12.41666667,12.4,"forest"
"283","Poecile_cinctus",19.55104158,"invertebrates",12.275,9,8,"other"
"284","Poecile_gambeli",19.19684665,"invertebrates",11.5185,10.1,10.1,"forest"
"285","Poecile_hudsonicus",18.42676783,"invertebrates",9.8,7,5.016666667,"forest"
"286","Poecile_rufescens",17.79640335,"invertebrates",9.7,9.5,8.4,"forest"
"287","Geothlypis_trichas",16.06630498,"invertebrates",9.666666667,11.5,9.916666667,"wetlands"
"288","Icteria_virens",21.27653453,"invertebrates",25.3,8.916666667,8.9,"other"
"289","Mniotilta_varia",25.50560546,"invertebrates",10.9,12.25,11.3,"forest"
"290","Oporornis_agilis",30.42361782,"invertebrates",15.25,4.34,4.3,"forest"
"291","Protonotaria_citrea",29.91979441,"invertebrates",14.95,8.1,6.491666667,"forest"
"292","Seiurus_aurocapilla",24.59156882,"invertebrates",19.4,11,9,"forest"
"293","Setophaga_ruticilla",24.02643017,"invertebrates",8.35,10.1,10,"forest"
"294","Vermivora_chrysoptera",25.85828895,"invertebrates",8.9,7.916666667,7.9,"forest"
"295","Regulus_calendula",21.99060368,"invertebrates",6.575,5.6,5.6,"forest"
"296","Regulus_satrapa",23.55921577,"invertebrates",6.103333333,6.333333333,5.316666667,"forest"
"297","Sitta_canadensis",26.15590175,"omnivore",10.35,7.5,7.5,"forest"
"298","Sitta_carolinensis",31.19303895,"invertebrates",21,9.834,9.833333333,"forest"
"299","Sitta_pygmaea",17.98946348,"invertebrates",10.6,8.2,8.2,"forest"
"300","Polioptila_caerulea",19.08536544,"invertebrates",6.125,4.2,4.2,NA
"301","Catherpes_mexicanus",13.16413223,"invertebrates",11.625,NA,NA,"other"
"302","Cistothorus_palustris",19.98367135,"invertebrates",11.25,NA,NA,"wetlands"
"303","Cistothorus_platensis",13.35736469,"invertebrates",8.55,NA,NA,"wetlands"
"304","Salpinctes_obsoletus",17.30108297,"invertebrates",16.5,NA,NA,"other"
"305","Thryomanes_bewickii",13.76655823,"invertebrates",9.9,8,8,"forest"
"306","Thryothorus_ludovicianus",11.40086673,"invertebrates",19.56666667,9.2,6.1,NA
"307","Troglodytes_aedon",13.69709037,"invertebrates",11,9,7.1,"other"
"308","Troglodytes_troglodytes",12.40553703,"invertebrates",9.225,7,5.833333333,NA
"309","Catharus_bicknelli",28.5987121,"invertebrates",29.65,11.91666667,7.34,"forest"
"310","Catharus_fuscescens",27.74377649,"invertebrates",31.925,10.1,10.1,"forest"
"311","Catharus_guttatus",26.51338971,"invertebrates",30.55,10.83333333,8.7,"forest"
"312","Catharus_minimus",30.39605546,"invertebrates",31.6,7.34,7.316666667,"forest"
"313","Catharus_ustulatus",31.65355361,"invertebrates",30.06666667,12.08333333,11,"forest"
"314","Hylocichla_mustelina",26.83527058,"invertebrates",48.65,10.16666667,8.9,"forest"
"315","Ixoreus_naevius",33.4020217,"invertebrates",79.225,5.6,4.8,"forest"
"316","Luscinia_svecica",20.30171239,"invertebrates",17.3,11.41666667,11.4,"other"
