"Binomial","Genus","Species","FBname","SpecCode","SpeciesRefNo","LongevityWild","LongevityCaptive","Length","LTypeMaxM","LengthFemale","LTypeMaxF","CommonLength","LTypeComM","CommonLengthF","LTypeComF","Weight","WeightFemale","MaxWeightRef","Median_T","lcl_T","ucl_T","n_T","Herbivory2","DietTroph","DietSeTroph","DietRemark","DietRef","FoodTroph","FoodSeTroph","FoodRemark","FoodRef","Troph","seTroph","TrophObserved"
"Glyptocephalus_zachirus","Glyptocephalus","zachirus","Rex sole","4238",30193,27,NA,60,"TL",NA,NA,"36","TL",NA,NA,2000,NA,56527,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.25,0.124,"Troph of juv./adults from 4 studies.","13507",3.41,0.51,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.25,0.123999997973442,TRUE
"Gobiesox_maeandricus","Gobiesox","maeandricus","Northern clingfish","3075",2850,NA,NA,16,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.44,0.26,"Troph of juv./adults from 1 study.","58686",3.55,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.44000005722046,0.259999990463257,TRUE
"Gonichthys_cocco","Gonichthys","cocco","Cocco’s lanternfish","1716",4479,NA,NA,6,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.21,0.31,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.21000003814697,0.310000002384186,TRUE
"Gonostoma_atlanticum","Gonostoma","atlanticum","Atlantic fangjaw","5052",4463,NA,NA,6.59999990463257,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.03,0.13,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.02999997138977,0.129999995231628,TRUE
"Gymnelus_hemifasciatus","Gymnelus","hemifasciatus","Halfbarred pout","47878",11954,NA,NA,10.5,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.13,0.34,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.13000011444092,0.340000003576279,TRUE
"Gymnelus_retrodorsalis","Gymnelus","retrodorsalis","Aurora unernak","15637",9925,NA,NA,14,"TL",NA,NA,NA,NA,NA,NA,4.59999990463257,NA,11976,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.2,0.35,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.20000004768372,0.349999994039536,TRUE
"Gymnelus_viridis","Gymnelus","viridis","Fish doctor","3131",11954,NA,NA,56,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.06,0.26,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.05999994277954,0.259999990463257,TRUE
"Gymnocanthus_galeatus","Gymnocanthus","galeatus","Armorhead sculpin","4091",2850,13,NA,36,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.29999995231628,0.430000007152557,FALSE
"Gymnocanthus_tricuspis","Gymnocanthus","tricuspis","Arctic staghorn sculpin","4092",7251,NA,NA,30,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.28,0.43,"Troph of juv./adults.","121342",3.42,0.52,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.27999997138977,0.430000007152557,TRUE
"Halargyreus_johnsonii","Halargyreus","johnsonii","Slender codling","2012",1371,NA,NA,56,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.38,0.47,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.38000011444092,0.469999998807907,TRUE
"Halosauropsis_macrochir","Halosauropsis","macrochir","Abyssal halosaur","6955",4448,NA,NA,90,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,3.29999995231628,NA,NA,2,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.27,0.36,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.26999998092651,0.360000014305115,TRUE
"Haplophryne_mollis","Haplophryne","mollis","Soft leafvent angler","17006",10762,NA,NA,15.8999996185303,"SL",NA,NA,"8","SL","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA,NA,"NA",NA,3.97000002861023,0.629999995231628,FALSE
"Harriotta_raleighana","Harriotta","raleighana","Pacific longnose chimaera","5053",6871,NA,NA,120,"OT","102.5","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.55,0.5,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.54999995231628,0.5,TRUE
"Helicolenus_dactylopterus","Helicolenus","dactylopterus","Blackbelly rosefish","76",4510,43,NA,50,"TL",NA,NA,"25","TL",NA,NA,1550,NA,40637,9.60000038146973,7.69999980926514,12.1999998092651,21,"mainly animals (troph. 2.8 and up)",3.54,NA,"Troph of adults from 1 study.","41858",3.8,0.58,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.94000005722046,0.550000011920929,FALSE
"Hemilepidotus_hemilepidotus","Hemilepidotus","hemilepidotus","Red Irish lord","4093",2850,NA,NA,51,"TL",NA,NA,NA,NA,NA,NA,1110,NA,40637,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.53,0.57,"Troph of juv./adults from 1 study.","37756",3.60999989509583,0.6,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.52999997138977,0.569999992847443,TRUE
"Hemilepidotus_spinosus","Hemilepidotus","spinosus","Brown Irish lord","4095",2850,NA,NA,29,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.5,0.5,"Tentative trophic level derived from 1 + troph of a single food item",NA,3.5,0.5,TRUE
"Hemitripterus_americanus","Hemitripterus","americanus","Sea raven","4097",7251,NA,NA,64,"TL",NA,NA,NA,NA,NA,NA,3200,NA,7251,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",4.45,0.541,"Troph of juv./adults from 2 studies.","37512",3.97,0.63,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.44999980926514,0.541000008583069,TRUE
"Hemitripterus_bolini","Hemitripterus","bolini","Bigmouth sculpin","4098",2850,23,NA,73,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",4.49,0.79,"Troph of juv./adults from 1 study.","37756",4.1,0.68,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.48999977111816,0.790000021457672,TRUE
"Hexagrammos_decagrammus","Hexagrammos","decagrammus","Kelp greenling","4032",2850,18,NA,61,"TL",NA,NA,NA,NA,NA,NA,2100,NA,27436,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.58999991416931,0.55,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.58999991416931,0.550000011920929,TRUE
"Hexagrammos_lagocephalus","Hexagrammos","lagocephalus","Rock greenling","4033",2850,NA,NA,61,"TL",NA,NA,NA,NA,NA,NA,830,NA,40637,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.67,0.253,"Troph of juv./adults from 2 studies.","9021",3.49,0.47,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.67000007629395,0.252999991178513,TRUE
"Hexagrammos_octogrammus","Hexagrammos","octogrammus","Masked greenling","4034",2850,12,NA,42,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52999997138977,0.529999971389771,FALSE
"Hexagrammos_stelleri","Hexagrammos","stelleri","Whitespotted greenling","4035",2850,NA,NA,48,"TL",NA,NA,NA,NA,NA,NA,1600,NA,27436,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.39,0.42,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.39000010490417,0.419999986886978,TRUE
"Hexanchus_griseus","Hexanchus","griseus","Bluntnose sixgill shark","637",247,NA,NA,482,"TL",NA,NA,"300","TL",NA,NA,590000,NA,27436,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",4.48,0.208,"Troph of adults from 2 studies.","33559",4.42,0.71,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.48000001907349,0.208000004291534,TRUE
"Himantolophus_albinares","Himantolophus","albinares",NA,"16888",4492,NA,NA,19,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.2,0.73,"Tentative trophic level derived from 1 + troph of a single food item","12640",4.19999980926514,0.730000019073486,TRUE
"Himantolophus_groenlandicus","Himantolophus","groenlandicus","Atlantic footballfish","3099",10299,NA,NA,4,"SL","60","SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",4.28,0.75,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.28000020980835,0.75,TRUE
"Himantolophus_mauli","Himantolophus","mauli",NA,"27745",12462,NA,NA,NA,NA,"21.5","SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.34999990463257,0.740000009536743,FALSE
