IUCN_ID_NO,LPI,CommonName,ScientificName,BinomialName,RedListCategory,Area_km2,Clip_area_km2,Proportion_CAN,Range_CAN
22694629,Y,Arctic Tern,Sterna paradisaea,Sterna_paradisaea,Least Concern,72591366.96,4801509.655,0.066144,6.614436
22694646,Y,Forster's Tern,Sterna forsteri,Sterna_forsteri,Least Concern,10875967.08,963951.4941,0.088631,8.863134
22694787,Y,Black Tern,Chlidonias niger,Chlidonias_niger,Least Concern,37714829.42,2843750.145,0.075401,7.540138
22694841,Y,Common Murre,Uria aalge,Uria_aalge,Least Concern,20361429.5,2054309.838,0.100892,10.089222
22694847,Y,Thick-billed Murre,Uria lomvia,Uria_lomvia,Least Concern,2199416.107,268133.9082,0.121911,12.191141
22694852,Y,Razorbill,Alca torda,Alca_torda,Near Threatened,9318048.372,1682258.684,0.180538,18.053766
22694861,Y,Black Guillemot,Cepphus grylle,Cepphus_grylle,Least Concern,6808624.096,2476818.096,0.363777,36.37766
22694864,Y,Pigeon Guillemot,Cepphus columba,Cepphus_columba,Least Concern,6816715.976,447934.2842,0.065711,6.571116
22694870,Y,Marbled Murrelet,Brachyramphus marmoratus,Brachyramphus_marmoratus,Endangered,2521238.684,481449.9886,0.190958,19.095772
22694896,Y,Ancient Murrelet,Synthliboramphus antiquus,Synthliboramphus_antiquus,Least Concern,5454947.882,442004.3592,0.081028,8.102815
22694903,Y,Cassin's Auklet,Ptychoramphus aleuticus,Ptychoramphus_aleuticus,Near Threatened,4083469.881,361931.5458,0.088633,8.863333
22694924,Y,Rhinoceros Auklet,Cerorhinca monocerata,Cerorhinca_monocerata,Least Concern,5458462.683,262439.8112,0.048079,4.807944
22694927,Y,Atlantic Puffin,Fratercula arctica,Fratercula_arctica,Vulnerable,19124425.3,2677281.668,0.139993,13.999279
22694934,Y,Tufted Puffin,Fratercula cirrhata,Fratercula_cirrhata,Least Concern,10847952.81,369205.6458,0.034035,3.403459
22694938,Y,Osprey,Pandion haliaetus,Pandion_haliaetus,Least Concern,91737716.35,6451049.783,0.070321,7.032058
22695144,Y,Bald Eagle,Haliaeetus leucocephalus,Haliaeetus_leucocephalus,Least Concern,15548846.09,5904386.061,0.379731,37.973146
22695656,Y,Cooper's Hawk,Accipiter cooperii,Accipiter_cooperii,Least Concern,10487681.2,824398.0235,0.078606,7.860632
22695683,Y,Northern Goshawk,Accipiter gentilis,Accipiter_gentilis,Least Concern,36027993.75,6759109.35,0.187607,18.760715
22695883,Y,Red-shouldered Hawk,Buteo lineatus,Buteo_lineatus,Least Concern,4090570.221,204835.5178,0.050075,5.007505
22695891,Y,Broad-winged Hawk,Buteo platypterus,Buteo_platypterus,Least Concern,12156656.88,1625694.062,0.133729,13.372871
22695903,Y,Swainson's Hawk,Buteo swainsoni,Buteo_swainsoni,Least Concern,13793683.78,2144502.454,0.15547,15.546989
22695933,Y,Red-tailed Hawk,Buteo jamaicensis,Buteo_jamaicensis,Least Concern,15893905.87,5165627.125,0.325007,32.500678
22695970,Y,Ferruginous Hawk,Buteo regalis,Buteo_regalis,Least Concern,4975156.457,391297.0382,0.07865,7.86502
22695973,Y,Rough-legged Buzzard,Buteo lagopus,Buteo_lagopus,Least Concern,37406818.16,4530327.224,0.12111,12.110967
22696060,Y,Golden Eagle,Aquila chrysaetos,Aquila_chrysaetos,Least Concern,43358006.95,4537846.261,0.10466,10.465994
22696395,Y,American Kestrel,Falco sparverius,Falco_sparverius,Least Concern,27776685.3,4974100.022,0.179075,17.907464
22696453,Y,Merlin,Falco columbarius,Falco_columbarius,Least Concern,46896407.73,6978175.169,0.1488,14.879978
22696500,Y,Gyrfalcon,Falco rusticolus,Falco_rusticolus,Least Concern,26158958.24,9492308.7,0.36287,36.287029
22696504,Y,Prairie Falcon,Falco mexicanus,Falco_mexicanus,Least Concern,5424948.418,472789.7871,0.087151,8.715102
22696574,Y,Pied-billed Grebe,Podilymbus podiceps,Podilymbus_podiceps,Least Concern,21362818.13,3145103.984,0.147223,14.722327
22696599,Y,Red-necked Grebe,Podiceps grisegena,Podiceps_grisegena,Least Concern,23962686.01,4856355.951,0.202663,20.266326
22696606,Y,Horned Grebe,Podiceps auritus,Podiceps_auritus,Vulnerable,23711152.45,4628504.947,0.195204,19.520371
22696610,Y,Black-necked Grebe,Podiceps nigricollis,Podiceps_nigricollis,Least Concern,23562032.62,1124779.838,0.047737,4.773696
22696631,Y,Western Grebe,Aechmophorus occidentalis,Aechmophorus_occidentalis,Least Concern,6365734.023,1272387.658,0.199881,19.988074
22696657,Y,Northern Gannet,Morus bassanus,Morus_bassanus,Least Concern,18269585.43,1686926.578,0.092335,9.233524
22696753,Y,Brandt's Cormorant,Phalacrocorax_penicillatus,Phalacrocorax_penicillatus,Least Concern,702773.4667,79407.64619,0.112992,11.299181
22696776,Y,Double-crested Cormorant,Phalacrocorax auritus,Phalacrocorax_auritus,Least Concern,10596528.91,1919457.499,0.18114,18.114021
22696792,Y,Great Cormorant,Phalacrocorax carbo,Phalacrocorax_carbo,Least Concern,32287342.09,264853.7582,0.008203,0.820302
22697043,Y,Great White Egret,Ardea alba,Ardea_alba,Least Concern,80822182.46,241510.9713,0.002988,0.298818
22697211,Y,Black-crowned Night-heron,Nycticorax nycticorax,Nycticorax_nycticorax,Least Concern,52765688.51,1401685.268,0.026564,2.656433
22697314,Y,Least Bittern,Ixobrychus exilis,Ixobrychus_exilis,Least Concern,8172099.059,69663.28305,0.008525,0.852453
22697340,Y,American Bittern,Botaurus lentiginosus,Botaurus_lentiginosus,Least Concern,14233855.3,4498997.674,0.316077,31.607724
22697426,Y,White-faced Ibis,Plegadis chihi,Plegadis_chihi,Least Concern,9580570.689,10825.53309,0.00113,0.112995
22697611,Y,American White Pelican,Pelecanus erythrorhynchos,Pelecanus_erythrorhynchos,Least Concern,8105115.128,1216832.344,0.150131,15.013141
22697627,Y,Turkey Vulture,Cathartes aura,Cathartes_aura,Least Concern,28128710.5,626283.1356,0.022265,2.226491
22697829,Y,Red-throated Loon,Gavia stellata,Gavia_stellata,Least Concern,23354696,5544157.833,0.237389,23.738942
22697839,Y,Pacific Loon,Gavia pacifica,Gavia_pacifica,Least Concern,6785464.734,3714756.818,0.547458,54.745798
22697842,Y,Common Loon,Gavia immer,Gavia_immer,Least Concern,12617999.99,7600630.175,0.602364,60.23641
22697847,Y,Yellow-billed Loon,Gavia adamsii,Gavia_adamsii,Near Threatened,5436442.883,1599454.394,0.29421,29.420973
22697866,Y,Northern Fulmar,Fulmarus glacialis,Fulmarus_glacialis,Least Concern,29449824.55,2975463.676,0.101035,10.103502
22698201,Y,Great Shearwater,Ardenna gravis,Ardenna_gravis,Least Concern,63566816.11,1708192.258,0.026872,2.687239
22698209,Y,Sooty Shearwater,Ardenna grisea,Ardenna_grisea,Near Threatened,203177599.2,2489640.498,0.012254,1.225352
22698572,Y,Fork-tailed Storm-petrel,Oceanodroma furcata,Oceanodroma_furcata,Least Concern,19590669.41,448164.988,0.022876,2.287645
22699787,Y,Olive-sided Flycatcher,Contopus cooperi,Contopus_cooperi,Near Threatened,20275254.61,5325541.426,0.262662,26.266212
22699811,Y,Western Wood-pewee,Contopus sordidulus,Contopus_sordidulus,Least Concern,11524133.54,2214376.05,0.192151,19.21512
22699816,Y,Eastern Wood-pewee,Contopus virens,Contopus_virens,Least Concern,10575345.02,480237.9769,0.045411,4.541109
22699839,Y,Yellow-bellied Flycatcher,Empidonax flaviventris,Empidonax_flaviventris,Least Concern,8804426.854,4794325.864,0.544536,54.453583
22699845,Y,Alder Flycatcher,Empidonax alnorum,Empidonax_alnorum,Least Concern,13410180.47,5380219.777,0.401204,40.120413
22699848,Y,Willow Flycatcher,Empidonax traillii,Empidonax_traillii,Least Concern,11374050.06,1150216.432,0.101126,10.112637
22699854,Y,Least Flycatcher,Empidonax minimus,Empidonax_minimus,Least Concern,11595280.33,4176389.91,0.36018,36.018016
22699857,Y,Hammond's Flycatcher,Empidonax hammondii,Empidonax_hammondii,Least Concern,5603943.607,959677.4245,0.17125,17.125037
22699864,Y,American Dusky Flycatcher,Empidonax oberholseri,Empidonax_oberholseri,Least Concern,4614750.938,538137.6223,0.116612,11.66125
22699871,Y,Pacific-slope Flycatcher,Empidonax difficilis,Empidonax_difficilis,Least Concern,1684080.633,415544.1504,0.246748,24.674837
22699886,Y,Eastern Phoebe,Sayornis phoebe,Sayornis_phoebe,Least Concern,7959979.684,2613308.544,0.328306,32.830593
22699889,Y,Say's Phoebe,Sayornis saya,Sayornis_saya,Least Concern,10053591.06,3156858.319,0.314003,31.400306
22700433,Y,Great Crested Flycatcher,Myiarchus crinitus,Myiarchus_crinitus,Least Concern,6748930.582,982232.1939,0.145539,14.553894
22700497,Y,Western Kingbird,Tyrannus verticalis,Tyrannus_verticalis,Least Concern,6509991.556,529390.2804,0.08132,8.131966
22700506,Y,Eastern Kingbird,Tyrannus tyrannus,Tyrannus_tyrannus,Least Concern,16647797.4,3381856.431,0.203141,20.314137
22705042,Y,Loggerhead Shrike,Lanius ludovicianus,Lanius_ludovicianus,Near Threatened,9319416.787,707368.0684,0.075903,7.590261
22705182,Y,Hutton's Vireo,Vireo huttoni,Vireo_huttoni,Least Concern,1214889.286,56638.87547,0.046621,4.662061
