"","Binomial","BodySize","TrophicLevel","LifeSpan","lpi"
"205","Odocoileus_virginianus",55508.56,"herbivore",23,"C-vertebrates"
"206","Rangifer_tarandus",86033.98,"herbivore",21.7,"C-vertebrates"
"207","Canis_latrans",13406.33,"carnivore",21.83333333,"C-vertebrates"
"208","Canis_lupus",32183.33,"carnivore",29.5,"C-vertebrates"
"209","Vulpes_lagopus",3584.37,"carnivore",16.3,"C-vertebrates"
"210","Vulpes_velox",2197.51,"carnivore",20,"C-vertebrates"
"211","Vulpes_vulpes",5476.17,"omnivore",21.3,"C-vertebrates"
"212","Lynx_canadensis",9373.25,"carnivore",26.8,"C-vertebrates"
"213","Lynx_rufus",8904.1,"carnivore",32.33333333,"C-vertebrates"
"214","Puma_concolor",51600.04,"carnivore",23.8,"C-vertebrates"
"215","Mephitis_mephitis",2085.02,"omnivore",13.9,"C-vertebrates"
"216","Enhydra_lutris",23500,"carnivore",30,"C-vertebrates"
"217","Gulo_gulo",17012.56,"omnivore",19.5,"C-vertebrates"
"218","Lontra_canadensis",8087.42,"carnivore",27,"C-vertebrates"
"219","Martes_americana",1250,"omnivore",19,"C-vertebrates"
"220","Mustela_erminea",119.38,"carnivore",12.5,"C-vertebrates"
"221","Mustela_frenata",147,"carnivore",8.8,"C-vertebrates"
"222","Pekania_pennanti",NA,NA,NA,"C-vertebrates"
"223","Vison_vison",NA,NA,NA,"C-vertebrates"
"224","Odobenus_rosmarus",825000,"carnivore",40,"C-vertebrates"
"225","Eumetopias_jubatus",310000,"carnivore",32.8,"C-vertebrates"
"226","Halichoerus_grypus",157667,"carnivore",46.6725,"C-vertebrates"
"227","Pagophilus_groenlandicus",132250,"carnivore",42,"C-vertebrates"
"228","Phoca_vitulina",1e+05,"carnivore",47.6,"C-vertebrates"
"229","Pusa_hispida",70963.6,"carnivore",46,"C-vertebrates"
"230","Procyon_lotor",5524.97,"omnivore",21,"C-vertebrates"
"231","Ursus_americanus",99949.36,"omnivore",34,"C-vertebrates"
"232","Ursus_arctos",180520.42,"omnivore",50,"C-vertebrates"
"233","Ursus_maritimus",388750.36,"carnivore",45,"C-vertebrates"
"234","Balaena_mysticetus",1e+08,"carnivore",211,"C-vertebrates"
"235","Eubalaena_glacialis",2.3e+07,"carnivore",67,"C-vertebrates"
"236","Balaenoptera_acutorostrata",1e+07,"carnivore",50,"C-vertebrates"
"237","Balaenoptera_musculus",1.9e+08,"carnivore",110,"C-vertebrates"
"238","Balaenoptera_physalus",7e+07,"carnivore",116,"C-vertebrates"
"239","Megaptera_novaeangliae",3e+07,"carnivore",95,"C-vertebrates"
"240","Delphinus_delphis",80000,"carnivore",29.025,"C-vertebrates"
"241","Globicephala_melas",8e+05,"carnivore",60,"C-vertebrates"
"242","Lagenorhynchus_acutus",182000,"carnivore",27,"C-vertebrates"
"243","Lagenorhynchus_obliquidens",120000,"carnivore",46,"C-vertebrates"
"244","Orcinus_orca",4300000,"carnivore",100,"C-vertebrates"
"245","Eschrichtius_robustus",28500000,"carnivore",77,"C-vertebrates"
"246","Delphinapterus_leucas",1360000,"carnivore",40,"C-vertebrates"
"247","Monodon_monoceros",9e+05,"carnivore",50,"C-vertebrates"
"248","Phocoena_phocoena",52500,"carnivore",20.4,"C-vertebrates"
"249","Phocoenoides_dalli",102500,"carnivore",22,"C-vertebrates"
"250","Hyperoodon_ampullatus",5800000,"carnivore",37,"C-vertebrates"
"251","Mesoplodon_bidens",3400000,"carnivore",NA,"C-vertebrates"
"252","Eptesicus_fuscus",16.46,"carnivore",20,"C-vertebrates"
"253","Lasionycteris_noctivagans",10.46,"carnivore",12,"C-vertebrates"
"254","Lasiurus_borealis",10.74,"carnivore",2.575,"C-vertebrates"
"255","Lasiurus_cinereus",25.28,"carnivore",14,"C-vertebrates"
"256","Myotis_keenii",6.27,"carnivore",19,"C-vertebrates"
"257","Myotis_lucifugus",7.65,"carnivore",34,"C-vertebrates"
"258","Myotis_septentrionalis",7.74,"carnivore",19,"C-vertebrates"
"259","Lepus_americanus",1710.02,"herbivore",8,"C-vertebrates"
"260","Lepus_arcticus",4405.04,"omnivore",18,"C-vertebrates"
"261","Sylvilagus_nuttallii",755.09,"herbivore",7.4,"C-vertebrates"
"262","Ochotona_collaris",129,"herbivore",6,"C-vertebrates"
"263","Castor_canadensis",21820,"herbivore",23.4,"C-vertebrates"
"264","Dicrostonyx_groenlandicus",54.4,"herbivore",3.3,"C-vertebrates"
"265","Lemmus_trimucronatus",69.82,"herbivore",1.666666667,"C-vertebrates"
"266","Microtus_longicaudus",46.71,"herbivore",1.166666667,"C-vertebrates"
"267","Microtus_montanus",36.33,"herbivore",NA,"C-vertebrates"
"268","Microtus_oeconomus",34.38,"herbivore",2.166666667,"C-vertebrates"
"269","Microtus_pennsylvanicus",36.75,"herbivore",2.908333333,"C-vertebrates"
"270","Microtus_townsendii",64.75,"herbivore",NA,"C-vertebrates"
"271","Myodes_gapperi",19.83,"omnivore",2.408333333,"C-vertebrates"
"272","Myodes_rutilus",19.94,"omnivore",NA,"C-vertebrates"
"273","Peromyscus_leucopus",21.17,"omnivore",8,"C-vertebrates"
"274","Peromyscus_maniculatus",21.28,"omnivore",8.333333333,"C-vertebrates"
"275","Phenacomys_intermedius",25.2,"herbivore",4,"C-vertebrates"
"276","Reithrodontomys_megalotis",9.37,"herbivore",3.575,"C-vertebrates"
"277","Napaeozapus_insignis",22.3,"omnivore",4,"C-vertebrates"
"278","Zapus_hudsonius",17.12,"omnivore",5.6,"C-vertebrates"
"279","Zapus_princeps",29,"omnivore",6,"C-vertebrates"
"280","Erethizon_dorsatum",7085.33,"herbivore",NA,"C-vertebrates"
"281","Dipodomys_ordii",60.4,"omnivore",9.9,"C-vertebrates"
"282","Perognathus_parvus",21.78,"omnivore",5.8,"C-vertebrates"
"283","Cynomys_ludovicianus",1364,"herbivore",18,"C-vertebrates"
"284","Glaucomys_sabrinus",166,"herbivore",14.2,"C-vertebrates"
"285","Marmota_vancouverensis",6299.99,"herbivore",12.1,"C-vertebrates"
"286","Neotamias_amoenus",NA,NA,NA,"C-vertebrates"
"287","Neotamias_minimus",NA,NA,NA,"C-vertebrates"
"288","Poliocitellus_franklinii",363,"omnivore",7.2,"C-vertebrates"
"289","Tamias_striatus",111.91,"omnivore",9.5,"C-vertebrates"
"290","Tamiasciurus_douglasii",225,"omnivore",5.491666667,"C-vertebrates"
"291","Tamiasciurus_hudsonicus",201.17,"omnivore",12,"C-vertebrates"
"292","Urocitellus_columbianus",493,"omnivore",4.241666667,"C-vertebrates"
"293","Urocitellus_parryii",NA,NA,NA,"C-vertebrates"
"294","Blarina_brevicauda",28,"omnivore",2.75,"C-vertebrates"
"295","Sorex_cinereus",4.66,"carnivore",2.5,"C-vertebrates"
"296","Sorex_monticolus",5.25,"carnivore",2.083333333,"C-vertebrates"
"297","Sorex_vagrans",5.9,"carnivore",2.083333333,"C-vertebrates"
